CITY,%Total population 65-74,%Total population 65-74,%Total population 65-74,% 16+ Yrs not in labor force,Percetage of Labor force with Public Health Insurance,Percent of population Employed health insurance coverage ages 19-64,% of Owner Occupied Housing Units,"%homes using oil, Kerosene for heat energy",%homes using coal for heat energy,%homes with no heat,%homes using wood for heat energy,%homes using solar energy,%workers carpooling,% homes heating with coal,%foriegn born,%foriegn born,%homes heating with wood,%workers taking taxi to work,%workers taking taxi to work
NAME,DP05_0015PE,DP05_0015PE,DP05_0015PE,DP03_0007PE,DP03_0112PE,DP03_0107PE,DP04_0046PE,DP04_0066PE,DP04_0067E,DP04_0071PE,DP04_0068E,DP04_0069E,DP03_0020PE,DP04_0067PE,DP02_0095PE,DP02_0095PE,DP04_0068PE,DP03_0021PE,DP03_0021PE
CATEGORY,Social,Political,Economic,Economic,Economic,Economic,Social,Envronmental,Environmental,Environmental,Environmental,Environmental,Environmental,Environmental,Political,Social,Environmental,Environmental,Social
"Weirton-Steubenville, WV-OH Metro Area",10.7,10.7,10.7,36.2,16.6,11.3,70.8,0,0,1.1,529,534,11.7,0,22735,22735,0.4,0.3,0.3
"Wenatchee, WA Metro Area",11.1,11.1,11.1,40.5,37.1,6.2,78.4,,,,,,9,,2361,2361,,0.3,0.3
"Wheeling, WV-OH Metro Area",12,12,12,49.9,63,21.4,72.1,9.4,267,0.2,1805,0,8.9,0.7,1542,1542,4.9,0.4,0.4
"Whitewater-Elkhorn, WI Micro Area",7.5,7.5,7.5,30.5,15.3,4.9,60.2,0.1,0,0.7,3764,7855,9.1,0,1497519,1497519,0.1,0.6,0.6
"Wichita, KS Metro Area",9.1,9.1,9.1,39,26.8,8,65.8,0.5,0,0.2,834,0,10.6,0,19697,19697,1.6,0.4,0.4
"Winchester, VA-WV Metro Area",11.3,11.3,11.3,43,52.5,17.1,65.3,,,,,,8.1,,1365,1365,,0.5,0.5
"Winston-Salem, NC Metro Area",13.6,13.6,13.6,48.2,34.8,23.4,65.8,4.1,0,0.1,419,0,9.5,0,2618,2618,1,0.8,0.8
"Wisconsin Rapids-Marshfield, WI Micro Area",12.8,12.8,12.8,41.8,6.5,7.6,77.1,,,,,,4.4,,9310,9310,,0,0
"Wooster, OH Micro Area",11.1,11.1,11.1,35.6,50.9,12.6,71,0.1,0,0.7,634,0,7.9,0,18012,18012,0.4,0.8,0.8
"Worcester, MA-CT Metro Area",10.9,10.9,10.9,36,38.2,14.1,65.1,1.2,91,0.6,2133,199,7.9,0,36051,36051,0.6,0.9,0.9
